type;SzakmaKod;year;KorhazRovid;N;KorhazNev;SzakmaMegnev;MukodoAtlagAgy;TeljesitettApolasiNapSzam;ElbocsatottBetegSzam;KorhazNevEgyseges;IncPerDay;IncPerDayLCI;IncPerDayUCI;IncPerPatient;IncPerPatientLCI;IncPerPatientUCI
CDI;01;2015;0101;111;Szent Imre Kórház;Belgyógyászat;196;56511;7893;Szent Imre Kórház;196,42193555237;161,611782815432;236,495209712611;140,630938806537;115,826553601689;169,112087057868
CDI;01;2015;0106;27;Szent János Kórház és Észak-budai Egyesített Kórházak;Belgyógyászat;147;35165;5170;Szent János Kórház és Észak-budai Egyesített Kórházak;76,7808900895777;50,604996442803;111,692651415838;52,2243713733075;34,4435575733013;75,8934121557231
CDI;01;2015;0109;95;Egyesített Szent István és Szent László Kórház-Rendelőintézet;Belgyógyászat;270;65759;5992;Egyesített Szent István és Szent László Kórház-Rendelőintézet;144,46691707599;116,897601972119;176,574930700475;158,544726301736;128,45653400305;193,470019259977
CDI;01;2015;0112;114;Bajcsy-Zsilinszky Kórház és Rendelőintézet;Belgyógyászat;163;45040;6231;Bajcsy-Zsilinszky Kórház és Rendelőintézet;253,108348134991;208,827164065578;303,982946065788;182,956186807896;151,147273092204;219,380217420606
CDI;01;2015;0115;226;Jahn Ferenc Dél-pesti Kórház;Belgyógyászat;211;66490;8236;Jahn Ferenc Dél-pesti Kórház;339,900736952925;297,088964029555;387,132384256192;274,405050995629;240,196775997959;312,009169626077
CDI;01;2015;0116;26;Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;Belgyógyászat;212;59816;7905;Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;43,4666310017387;28,3957493173432;63,6822456330317;32,8905755850727;21,4961223594289;48,1554326555732
CDI;01;2015;0118;23;Uzsoki utcai Kórház;Belgyógyászat;124;33265;3881;Uzsoki utcai Kórház;69,1417405681647;43,8348219921157;103,728607623352;59,2630765266684;37,603697779905;88,7917820197926
CDI;01;2015;0119;40;Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;Belgyógyászat;75,3;24528;2719;Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;163,078930202218;116,530747809748;222,001707480998;147,112909157779;105,302105146661;199,792096031132
CDI;01;2015;0121;36;Károlyi Sándor Kórház;Belgyógyászat;58,3;16552;2334;Károlyi Sándor Kórház;217,496375060416;152,376853118116;300,980752583391;154,241645244216;108,256658312196;212,901302243957
CDI;01;2015;0140;70;Semmelweis Egyetem;Belgyógyászat;320;98711;16168;Semmelweis Egyetem;70,9140825237309;55,2850482614717;89,5873072501457;43,2953983176645;33,7659713767595;54,6699150844934
CDI;01;2015;01A6;167;Magyar Honvédség Egészségügyi Központ;Belgyógyászat;250,6;73709;8033;Magyar Honvédség Egészségügyi Központ;226,566633653964;193,537211927174;263,606178732098;207,892443669862;177,817124656218;241,510688578432
CDI;01;2015;01E8;8;Szent Margit Kórház, Budapest;Belgyógyászat;91;26859;4046;Szent Margit Kórház, Budapest;29,7851744294278;12,8599732212606;58,6801862632327;19,7726149283243;8,54015564846688;38,9225639864418
CDI;01;2015;0204;2;Mohácsi Kórház;Belgyógyászat;49;13267;2046;Mohácsi Kórház;15,0749981156252;1,82570435088742;54,4453548483239;9,77517106549365;1,18403787256338;35,2662220429432
CDI;01;2015;0205;1;Komlói Egészségcentrum;Belgyógyászat;20;6670;1135;Komlói Egészségcentrum;14,9925037481259;0,379576610704959;83,504263166401;8,81057268722467;0,223061899659233;48,9906200875848
CDI;01;2015;0207;6;Szigetvári Kórház;Belgyógyászat;25;10031;1219;Szigetvári Kórház;59,814574818064;21,9539570738785;130,14534017584;49,2206726825267;18,0838928212935;106,822721970018
CDI;01;2015;0242;67;Pécsi Tudományegyetem;Belgyógyászat;234,7;71252;10847;Pécsi Tudományegyetem;94,03244821198;72,8810561676392;119,40272576487;61,7682308472389;47,9006532451527;78,3780054308381
CDI;01;2015;0301;90;Bács-Kiskun Megyei Kórház, Kecskemét;Belgyógyászat;268,6;71336;9152;Bács-Kiskun Megyei Kórház, Kecskemét;126,163507906247;101,46218852186;155,053947488139;98,3391608391609;79,1483661563235;120,739096615038
CDI;01;2015;0302;8;Bajai Szent Rókus Kórház;Belgyógyászat;90;30726;5273;Bajai Szent Rókus Kórház;26,0365813968626;11,2413965559975;51,2959640580361;15,1716290536696;6,55223643334117;29,8721547317859
CDI;01;2015;0306;11;Kiskunhalasi Semmelweis Kórház;Belgyógyászat;107;22080;3306;Kiskunhalasi Semmelweis Kórház;49,8188405797102;24,8719254468097;89,1221422345154;33,2728372655777;16,6210219230631;59,4561322515258
