KorhazNevFactor;lci;fit;uci;type;year;formula;family
Szent Imre Kórház;62,3416052055355;122,660863740571;242,009107280401;CDI;2015;"";NB
Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;81,0860497041803;137,311835702783;233,270979047338;CDI;2015;"";NB
Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;6,43665017255098;17,0005698978205;44,9576424584466;CDI;2015;"";NB
Szent János Kórház és Észak-budai Egyesített Kórházak;99,1874069943225;178,371842659857;321,835049873014;CDI;2015;"";NB
Országos Onkológiai Intézet;43,8371143762312;111,410748869654;283,588961217372;CDI;2015;"";NB
Jávorszky Ödön Kórház, Vác;40,8418052154046;81,9206369141645;164,759485316927;CDI;2015;"";NB
Semmelweis Egyetem;40,5574439337765;69,8013754927678;120,525189060116;CDI;2015;"";NB
Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;43,2430087427639;102,495151403223;243,432536721715;CDI;2015;"";NB
Szigetvári Kórház;44,62930342566;103,83836595669;242,104687610208;CDI;2015;"";NB
Orosházi Kórház;20,7113374228077;47,2213054128768;107,896154979157;CDI;2015;"";NB
Dr. Bugyi István Kórház, Szentes;48,6824639285639;98,516277291399;199,878861598873;CDI;2015;"";NB
Tüdőgyógyintézet, Törökbálint;0,150365999751573;1,66703375003084;18,4906691015604;CDI;2015;"";NB
Egyesített Szent István és Szent László Kórház-Rendelőintézet;82,9537285139219;150,299554877265;273,052940358582;CDI;2015;"";NB
Siófoki Kórház-Rendelőintézet;11,824847587477;29,26367837134;72,5571287958086;CDI;2015;"";NB
Kazincbarcikai Kórház Nonprofit Kft.;0,422268619280596;4,73068568027907;53,0215879981714;CDI;2015;"";NB
Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;34,6274248328934;63,438309007193;116,496044979957;CDI;2015;"";NB
Szent Lázár Megyei Kórház, Salgótarján;23,0555337851581;47,6958355011357;98,9150875101241;CDI;2015;"";NB
Gróf Tisza István Kórház, Berettyóújfalu;5,87294892850678;17,2670156209188;50,8412363694631;CDI;2015;"";NB
Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;30,9424948458905;71,4870388646666;165,50725513528;CDI;2015;"";NB
Vaszary Kolos Kórház, Esztergom;35,263605624532;73,013720136718;151,556024226192;CDI;2015;"";NB
Szent Borbála Kórház, Tatabánya;35,5787746748693;66,2820616647022;123,828141550275;CDI;2015;"";NB
Bugát Pál Kórház, Gyöngyös;21,1009419775987;56,0815036084255;149,315918065995;CDI;2015;"";NB
Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;2,8526228551154;11,9390008621303;50,0186519550769;CDI;2015;"";NB
Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;24,9740978176735;50,3948815422154;101,959718905157;CDI;2015;"";NB
Uzsoki utcai Kórház;69,2789974504037;125,346391348048;227,464541444619;CDI;2015;"";NB
Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház;45,8908352519261;76,928135671292;129,350764135318;CDI;2015;"";NB
Bajai Szent Rókus Kórház;2,53706314997725;8,89884233369426;31,2503283187596;CDI;2015;"";NB
Petz Aladár Megyei Oktató Kórház, Győr;26,0571427406218;46,5228017882804;83,2816617825829;CDI;2015;"";NB
Komlói Egészségcentrum;2,90073906323175;16,1823167852682;90,3428640703433;CDI;2015;"";NB
Kiskunhalasi Semmelweis Kórház;16,0716429769016;34,7422548920077;75,2520229312404;CDI;2015;"";NB
Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;4,75070290894574;12,8406702399548;34,7588564957134;CDI;2015;"";NB
Békés Megyei Pándy Kálmán Kórház, Gyula;5,73562939207509;12,2218447760353;26,0885145466053;CDI;2015;"";NB
Dr. Réthy Pál Kórház-Rendelőintézet, Békéscsaba;21,0689718116066;49,0415814482118;114,393262769581;CDI;2015;"";NB
Markusovszky Egyetemi Oktatókórház, Szombathely;21,0672261338084;38,4614930856125;70,3921657834024;CDI;2015;"";NB
Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet;5,08224388911161;11,2242917209509;24,8318747526793;CDI;2015;"";NB
Kátai Gábor Kórház, Karcag;3,75262247614544;12,4358857057018;41,2627199211187;CDI;2015;"";NB
Keszthelyi Kórház;2,95524744169715;13,1711284535763;58,7552894299746;CDI;2015;"";NB
Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő, Pápa;13,1614784146427;39,5479978220525;119,014383112497;CDI;2015;"";NB
